place_id,day,hour,busy_percent
01b94e2a-d5b7-59cf-9062-bd417fac4a76,Senin,7,46
01b94e2a-d5b7-59cf-9062-bd417fac4a76,Senin,8,34
01b94e2a-d5b7-59cf-9062-bd417fac4a76,Senin,9,19
01b94e2a-d5b7-59cf-9062-bd417fac4a76,Senin,10,17
01b94e2a-d5b7-59cf-9062-bd417fac4a76,Senin,11,21
01b94e2a-d5b7-59cf-9062-bd417fac4a76,Senin,12,27
01b94e2a-d5b7-59cf-9062-bd417fac4a76,Senin,13,27
01b94e2a-d5b7-59cf-9062-bd417fac4a76,Senin,14,23
01b94e2a-d5b7-59cf-9062-bd417fac4a76,Senin,15,23
01b94e2a-d5b7-59cf-9062-bd417fac4a76,Senin,16,23
01b94e2a-d5b7-59cf-9062-bd417fac4a76,Senin,17,36
01b94e2a-d5b7-59cf-9062-bd417fac4a76,Senin,18,44
01b94e2a-d5b7-59cf-9062-bd417fac4a76,Senin,19,53
01b94e2a-d5b7-59cf-9062-bd417fac4a76,Senin,20,53
01b94e2a-d5b7-59cf-9062-bd417fac4a76,Senin,21,59
01b94e2a-d5b7-59cf-9062-bd417fac4a76,Senin,22,70
01b94e2a-d5b7-59cf-9062-bd417fac4a76,Senin,23,68
4bdb30b5-2f83-50b3-a44e-6f2517969ed2,Senin,4,31
4bdb30b5-2f83-50b3-a44e-6f2517969ed2,Senin,5,30
4bdb30b5-2f83-50b3-a44e-6f2517969ed2,Senin,6,29
4bdb30b5-2f83-50b3-a44e-6f2517969ed2,Senin,7,29
4bdb30b5-2f83-50b3-a44e-6f2517969ed2,Senin,8,30
4bdb30b5-2f83-50b3-a44e-6f2517969ed2,Senin,9,27
4bdb30b5-2f83-50b3-a44e-6f2517969ed2,Senin,10,28
4bdb30b5-2f83-50b3-a44e-6f2517969ed2,Senin,11,29
4bdb30b5-2f83-50b3-a44e-6f2517969ed2,Senin,12,30
4bdb30b5-2f83-50b3-a44e-6f2517969ed2,Senin,13,34
4bdb30b5-2f83-50b3-a44e-6f2517969ed2,Senin,14,30
4bdb30b5-2f83-50b3-a44e-6f2517969ed2,Senin,15,34
4bdb30b5-2f83-50b3-a44e-6f2517969ed2,Senin,16,33
4bdb30b5-2f83-50b3-a44e-6f2517969ed2,Senin,17,36
4bdb30b5-2f83-50b3-a44e-6f2517969ed2,Senin,18,43
4bdb30b5-2f83-50b3-a44e-6f2517969ed2,Senin,19,54
4bdb30b5-2f83-50b3-a44e-6f2517969ed2,Senin,20,69
4bdb30b5-2f83-50b3-a44e-6f2517969ed2,Senin,21,81
4bdb30b5-2f83-50b3-a44e-6f2517969ed2,Senin,22,86
4bdb30b5-2f83-50b3-a44e-6f2517969ed2,Senin,23,76
f4d81c03-3387-54ac-a5fe-ae0be0d2c347,Senin,6,0
f4d81c03-3387-54ac-a5fe-ae0be0d2c347,Senin,7,0
f4d81c03-3387-54ac-a5fe-ae0be0d2c347,Senin,8,0
f4d81c03-3387-54ac-a5fe-ae0be0d2c347,Senin,9,23
f4d81c03-3387-54ac-a5fe-ae0be0d2c347,Senin,10,19
f4d81c03-3387-54ac-a5fe-ae0be0d2c347,Senin,11,17
f4d81c03-3387-54ac-a5fe-ae0be0d2c347,Senin,12,25
f4d81c03-3387-54ac-a5fe-ae0be0d2c347,Senin,13,36
